Name,Quantity,Component
"U1",1," Arduino Uno R3"
"SERVO1, SERVO2",2,"Positional Micro Servo"
"Rpot1",1,"250 kΩ Potentiometer"
"Rpot2",1,"10 kΩ Potentiometer"
"R1, R2, R3, R4",4,"1 kΩ Resistor"
"R5, R6, R7, R8",4," Photoresistor"
